ID,Q15,Major Classification,Minor Classification,Positive topics,Negative topics,
8107,잘 모름,없음/모름,,,,
8108,모델,Not enough data,Not enough data,,,
8109,손석구를 모델로 쓰는거 자체가 완전 비호감이다. 라이징스타도 아니고 딱히 호감도가 없는 연예인인데 모델로 기용할때마다 그 제품에 반감만 생긴다,모델,호감도 낮음,라이징스타|호감도|연예인,비호감|반감,
8110,분위기가 인상적임,광고 임팩트,강한 임팩트,분위기,,
8111,시원하고 강해보인다,광고 임팩트,강한 임팩트,시원함|강함,,
8112,손석구 목소리 멋짐,모델,긍정적 평가,목소리,,
8113,아웃도어와 어울리는 이미지의 모델임,모델,긍정적 평가,모델|이미지,,
8114,그냥 무난,광고 임팩트,약한 임팩트,무난,,
8115,모델은 안정적이나 영상미가 떨어지고 이해도도 떨어진다,광고 구성,부정적 평가,모델,영상미|이해도,
8116,회장이 갑질하는 회사라.그닥.,광고 전반,부정적,회장|회사,갑질,
8117,광고 배경,비주얼,배경,자연|겨울,,
8118,제품이 안보임,광고 구성,부정적 평가,,제품,
8119,벅차오를만한 포인트가 없음. 높은 산이라도 배경을 넣었으면 좀 더 나을 듯함. 신발만 보임,광고 임팩트,약한 임팩트,,포인트|높은 산|배경|신발,
8120,산만하지 않아 집중해서 보게 됨,광고 전반,몰입도,집중|몰입,산만함,
8121,배경,Not enough data,Not enough data,,,
8122,그저 그래서,전반적 평가,중립적,,,
8123,모델의 이미지가 보통수준이어서,모델,부정적 평가,모델,이미지|수준,
8124,모델과 신발이어울려져 보인다,광고 구성,긍정적 평가,모델|신발,,
8125,신발이 좋음,제품/브랜드,긍정적 평가,신발,,
8126,프리미엄 제품인만큼 모델보다 제품에 초점을 두면 좋겠다는 바람,제품/브랜드,긍정적 평가,프리미엄|제품,모델,
8127,모델,Not enough data,Not enough data,,,
8128,비슷비슷 하다는게~~,광고 전반,평범함,,비슷비슷함,
8129,바닥 등 튼튼해 보여 트레킹에 적합한 신발 같이 보인다,제품/브랜드,기능성 강조,튼튼함|트레킹 적합성,,
8130,광고배경이 멋있어보임,시각적 요소,배경,배경|광고배경,,
8131,신발을 확대해서 보여주는 것 이외에 특장점에 대한 설명이 미약하다,광고 구성,부정적 평가,신발,특장점|설명,
8132,배경음악이 좋다,음악/사운드,긍정적 평가,배경음악,,
8133,산에서 가장 중요한 충격흡수 기능이 눈에 띄네요,기능성 강조,긍정적 평가,충격흡수 기능,,
8134,배경음악이 좋다,음악/사운드,긍정적 평가,배경음악,,
8135,모델이 별로다,모델,호감도 낮음,,모델,
8136,모델이 광고 제품과 다소 어울리지 않는 것 같다,모델,부정적 평가,,모델|광고 제품,
8137,너무 조용하다,감성 소구,부정적,,조용함,
8138,생동감 있다,광고 임팩트,강한 임팩트,생동감,,
8139,충격흡수의 고기능화,기능성 강조,기술력,충격흡수|고기능화,,
8140,광고의 임팩트가 부족한 것 같아서,광고 임팩트,약한 임팩트,,임팩트,
8141,영상과 음악,광고 구성,긍정적 평가,영상|음악,,
8142,답습한,Not enough data,Not enough data,,,
8143,신발이 좋아보인다,제품/브랜드,디자인,신발,,
8144,배경이 웅장하고 기분이 좋아딘다,비주얼,배경,웅장함|배경,,
8145,모델과 브랜드가 잘 어울린다,모델,호감도 높음,모델|브랜드,,
8146,음악이 신나서 좋다,음악/사운드,긍정적 평가,음악,,
8147,글씨가 있어서 좋다 말로만 하면 한귀로 나가는 느낌이라 간결한 글씨는 기억에 남음,메시지/카피,이해도 높음,글씨|기억,한귀로 나가는 느낌,
8148,광고시간이 짧고 무엇을 이야기 하고자 하는지 이해가 잘안감,광고 구성,부정적 평가,,광고시간|이해,
8149,모델을 잡은 각도가 새로워 보이고 브랜드와 어울리는 배경 등이 눈길을 사로잡아서,광고 구성,긍정적 평가,모델 각도|배경,,
8150,광고영상이 멋지고,전반적 평가,긍정적,광고영상|멋짐,,
8151,배우와 음악이 좋음,광고 구성,긍정적 평가,배우|음악,,
8152,환경이 좋아요,감성 소구,긍정적,환경,,
8153,신비감을 더해 제품의 특징을 알수 있는 광고다,광고 구성,긍정적 평가,신비감|제품 특징,,
8154,전체적으로 편안한 느김,감성 소구,긍정적,편안함,,
8155,손석구,Not enough data,Not enough data,,,
8156,영상미를 잘 살린 느낌이 든다,시각적 요소,영상미,영상미,,
8157,신발에 좀 더 집중된 느낌이 들어서,광고 구성,부정적 평가,신발,집중,
8158,배경,Not enough data,Not enough data,,,
8159,광고의 분위기가 좋음,감성 소구,긍정적,분위기,,
8160,화면과 분위기가 너무좋음,시각적 요소,긍정적 평가,화면|분위기,,
8161,벅차오르다는 표현이 왠지 끌린다,감성 소구,긍정적,벅차오름,,
8162,트래킹하는 장면,광고 전반,몰입도,트래킹,,
8163,모델이 비호감,모델,호감도 낮음,,모델,
8164,친숙한 브랜드,제품/브랜드,브랜드 이미지,친숙함,,
8165,배경,Not enough data,Not enough data,,,
8166,손석구 싫어해서,모델,호감도 낮음,,손석구,
8167,아이유 광고에 비해 광고제품이 더 잘보임,제품/브랜드,긍정적 평가,제품|광고제품,,
8168,평범해서,광고 임팩트,약한 임팩트,,평범함,
8169,광고의 장면 자체는 시선을 끌지만 광고하려는 브랜드의 신발의 기능은 잘 알지 못하겠다.,광고 임팩트,강한 임팩트,장면,신발 기능,
8170,터프한 느낌과 잘 어울려서,광고 구성,긍정적 평가,터프함|어울림,,
8171,내옹,Not enough data,Not enough data,,,
8172,충격 흡수라는 문구가 와닿는다.,메시지/카피,이해도 높음,충격 흡수,,
8173,배우가 멋짐,모델,호감도 높음,배우|멋짐,,
8174,브랜드 이미지와 잘 어울린다,제품/브랜드,브랜드 이미지,브랜드 이미지,,
8175,평범,Not enough data,Not enough data,,,
8176,모델 손석구,모델,호감도 높음,손석구,,
8177,차별성이 없다,광고 전반,평범함,,차별성,
8178,제품이 잘 드러남,제품/브랜드,긍정적 평가,제품,,
8179,모델이 브랜드와 잘 어울린다.,모델,긍정적 평가,모델|브랜드,,
8180,모델,Not enough data,Not enough data,,,
8181,독특하고 다른 광고와는 확연히 색다르고 실제 생활에 접하는 모습같아서 너무 마음에 든다,광고 전반,신선함,독특함|색다름|실제 생활,,
8182,좀 지루한 감은 있으나 아웃도아라는 느낌을 준다,광고 전반,평범함,아웃도어,지루함,
8183,신선함,Not enough data,Not enough data,,,
8184,손석구와 어울려서,모델,호감도 높음,손석구|어울림,,
8185,음악이 잘 어울림,음악/사운드,어울림,음악,,
8186,좋아보인다,전반적 평가,긍정적,좋아보임,,
8187,전체적인 분위기,광고 전반,분위기,전체적인 분위기,,
8188,신발과 모델이 잘 어울린다.,광고 구성,긍정적 평가,신발|모델,,
8189,광고 모델을 좋아하지 않아서,모델,호감도 낮음,,모델,
8190,신발이 등산에 좋아보신다,기능성 강조,긍정적 평가,신발|등산,,
8191,벅차다,Not enough data,Not enough data,,,
8192,미끄럼 방지효과가 좋을것 같아서,기능성 강조,보온성,미끄럼 방지|효과,,
8193,배경음악,음악/사운드,긍정적 평가,배경음악,,
8194,산과 어울린다,감성 소구,긍정적,산|자연,,
8195,무난하다,광고 임팩트,약한 임팩트,무난함,평범함,
8196,너무 거창하다.,광고 임팩트,약한 임팩트,,거창함,
8197,견고함과 내구성이 좋음,기능성 강조,긍정적 평가,견고함|내구성,,
8198,모델,Not enough data,Not enough data,,,
8199,배경,Not enough data,Not enough data,,,
8200,신발이 튼튼해 보여서,제품/브랜드,기능성 강조,튼튼함|신발,,
8201,모델만 보임,모델,호감도 낮음,,모델,
8202,제품과 상황이 잘 어울림,광고 구성,긍정적 평가,제품|상황,,
8203,진짜 신과관련된 배경이라 필요해보이네요,감성 소구,긍정적,신|배경,,
8204,등산화는 근본적으로 블략야크를좋아한다,제품/브랜드,긍정적 평가,등산화|블랙야크,,
8205,모델 손석구가 마음에 듭니다.,모델,호감도 높음,손석구|모델,,
8206,전문성이 느껴진다,전문성,긍정적 평가,전문성,,
8207,공감이 안감,감성 소구,부정적,,공감,
8208,모델이 잘 어울립니다,모델,긍정적 평가,모델|어울림,,
8209,무엇인지 인상만쓰는느낌,광고 임팩트,약한 임팩트,인상,,
8210,내용이 이해가 쉽다,메시지/카피,이해도 높음,이해|내용,,
8211,모델은 마음에 들지만 광고가 지루함,광고 전반,약한 임팩트,모델,광고|지루함,
8212,그저 그렇다그래도 다른 광고에 비해 제품 노출이 많아서 좋다,광고 전반,평범함,제품 노출,,
8213,기능이 좋아보인다,기능성 강조,긍정적 평가,기능성,,
8214,평범하다,광고 임팩트,약한 임팩트,,평범함,
8215,그냥그래요,전반적 평가,중립적,,,
8216,너무 비슷하다,광고 전반,평범함,,유사성,
8217,모델,Not enough data,Not enough data,,,
8218,신발을 부각시켜서 잘 나타낸것 같다,광고 구성,긍정적 평가,신발|부각,,
8219,분위기가 잘 어울림,비주얼,전체적 분위기,분위기,,
8220,모델이 싫다,모델,호감도 낮음,,모델,
8221,모델,Not enough data,Not enough data,,,
8222,남성적으로 느껴진다,광고 전반,평범함,,남성성,
8223,안전해 보인다,신뢰성,긍정적 평가,안전성,,
8224,유행어 만드는 것도 아니고 무슨의미인지 모르겠다,메시지/카피,이해도 낮음,,의미|유행어,
8225,거의다그렇다,전반적 평가,긍정적,긍정적 평가,,
8226,믿음이 간다,신뢰성,긍정적 평가,믿음,,
8227,신뢰감있는 이미지가 잘 돋보이는 광고인것같다.,신뢰성,긍정적 평가,신뢰감|이미지,,
8228,별다른 것이 없다,광고 임팩트,약한 임팩트,,평범함,
8229,잘어울린다,감성 소구,긍정적,어울림,,
8230,배경과 모델의 조화가 좋아서,비주얼,배경,배경|모델,,
8231,브랜드 네임과 영상이 조화를 이룬다,광고 구성,긍정적 평가,브랜드 네임|영상|조화,,
8232,배경,Not enough data,Not enough data,,,
8233,이유 없음,전반적 평가,중립적,,,
8234,산이 보기좋다,비주얼,배경,산,,
8235,심심한 내용이지만 음악이 괜찮음,음악/사운드,긍정적 평가,음악,내용,
8236,특별히 관심이 없음,광고 임팩트,약한 임팩트,,관심,
8237,그냥 그렇다,전반적 평가,중립적,,,
8238,전체적 구성,광고 구성,긍정적 평가,전체적 구성,,
8239,모델과 제품이 어울리지 않는다. 특히나 영상도 너무 섬뜩할 정도로 무자비하다. 내가 밟히는 듯한 느낌을 주며,감성 소구,부정적,모델|제품,어울리지 않음|영상|무자비함|섬뜩함,
8240,특별하게 강한 인상이 남지 않는다.,광고 임팩트,약한 임팩트,,인상,
8241,광고는 낫지만 모델이 별로다,광고 전반,긍정적,광고,모델,
8242,배경 음악이 좋고 모델이 멋있네요,음악/사운드,긍정적 평가,배경 음악|모델,음악,
8243,거친 남성미가 느껴져서 보기가 좋다,감성 소구,긍정적,남성미,,
8244,충격흡수가 좋다,기능성 강조,긍정적 평가,충격흡수,,
8245,저정도 산에 오를정도의 신발이 아닌것 같은데 너무 과대광고인듯,광고 전반,과장됨,,과대광고,
8246,그저 그렇다,광고 전반,평범함,,,
8247,편하게 활동 할 수 있게 보임.,기능성 강조,긍정적 평가,활동성,,
8248,그냥 평범,광고 전반,평범함,,평범,
8249,배경 장소가 광고와 적절하다,비주얼,배경,배경|장소,,
8250,배경과 모델과의 조화가 좋다,시각적 요소,배경,배경|모델,,
8251,배경 / 모델이 잘 어울린다,비주얼,배경,배경|모델,,
8252,별로 좋아하지 않는 음악,음악/사운드,부정적 평가,음악,,
8253,흥미롭지 않다,광고 임팩트,약한 임팩트,,흥미,
8254,제품은 잘 모르겟지만 브랜드자체가 잘 보이고 광고미감이 좋다,광고 전반,신선함,브랜드|광고미감,,
8255,화면 구성이 좋음,광고 구성,긍정적 평가,화면 구성,,
8256,거친 후 만족,전반적 평가,긍정적,만족,거친,
8257,기능에대한 설명이 좋아다,기능성 강조,긍정적 평가,기능|설명,,
8258,모델이 별로임,모델,부정적 평가,,모델,
8259,BOA를 보여주고,감성 소구,긍정적,BOA,,
8260,메시지 전달이 명확하지 않다,메시지/카피,이해도 낮음,,메시지 전달,
8261,광고가 만족합니다.,전반적 평가,긍정적,만족,,
8262,딱히 기억나는 장면이나 문구가 없다.,광고 임팩트,약한 임팩트,,기억나는 장면|문구,
8263,모델과 어울림,모델,호감도 높음,모델,,
8264,모델이 자연에서 보여주는 도전적인 모습이 마음에 든다,감성 소구,긍정적,모델|도전적인 모습,,
8265,충격은 흡수하고 편함만 남는다,기능성 강조,보온성,충격 흡수|편안함,,
8266,광고 자체를 좋아하지 않음,전반적 평가,부정적,,광고,
8267,제품이 부각됐다,제품/브랜드,긍정적 평가,제품 부각,,
8268,뭘 말하고자 하는 지 잘 모르겠습니다.,없음/모름,,,,
8269,손석구 기용,모델,호감도 높음,손석구,,
8270,상품과 잘 어울리는 스토리,광고 구성,긍정적 평가,스토리|상품,,
8271,카피가 별로입니다,메시지/카피,부정적 평가,,카피,
8272,흔한분위기,광고 임팩트,약한 임팩트,,평범함,
8273,야외 바람 신발,광고 전반,평범함,야외|바람|신발,,
8274,잘 모르겠음,없음/모름,,,,
8275,제품에 대한 설명이 부족하다,메시지/카피,이해도 낮음,,설명 부족,
8276,야성적이다,감성 소구,긍정적,야성,,
8277,음악배경,음악/사운드,긍정적 평가,음악배경,,
8278,지루하다,광고 임팩트,약한 임팩트,,지루함,
8279,모델 손석구,모델,호감도 높음,손석구,,
8280,벅차오른다,감성 소구,긍정적,벅차오름,,
8281,좋아하는 모델,모델,호감도 높음,모델,,
8282,단단함이 느껴져서,제품/브랜드,기능성 강조,단단함,,
8283,자연스럽다,광고 구성,긍정적 평가,자연스러움,,
8284,모델이 멋지고 배경이 예쁘고 상품이 기억에 남고 구매 욕구가 생겨서,감성 소구,긍정적,모델|배경|상품,,
8285,그저 그렇다,광고 임팩트,약한 임팩트,,평범함,
8286,배우도 맘에들고 어떤 광고인지 한번에 알 수 있다.,광고 구성,긍정적 평가,배우|광고,,
8287,블랙야크라는 문구가 잘 인식된다,광고 전반,기억에 남지 않음,블랙야크,,
8288,모델이 마음에 들고 신발의 기능성이 좋아보인다,모델,호감도 높음,모델|신발,,
8289,어디서 본것같다,광고 임팩트,약한 임팩트,어디서,본것같다,
8290,무슨내용인지 파악이 어렵다,메시지/카피,이해도 낮음,,내용 파악|어려움,
8291,배우가어울리지않는다,모델,호감도 낮음,,배우|어울림,
8292,기존과 비슷하다,광고 전반,평범함,,,
8293,분위기가 잘 어울린다.,감성 소구,긍정적,분위기,,
8294,그저 그렇다,광고 전반,평범함,,,
8295,배경,Not enough data,Not enough data,,,
8296,모델은 좋다,모델,호감도 높음,모델,,
8297,신발이 이상하게 보여서,제품/브랜드,부정적 평가,신발,이상함,
8298,신발의 쿠션감을 강조하는 영상,기능성 강조,긍정적 평가,쿠션감,,
8299,자연속으로걸어가는순간,감성 소구,긍정적,자연|순간,,
8300,편안하고 가벼운 등산화 걷기 편하고 부드러운 쿠션감을 느킬수 있어서 인상적이다,기능성 강조,긍정적 평가,편안함|가벼움|걷기 편함|부드러움|쿠션감,,
8301,산에 적합한,기능성 강조,보온성,산|적합성,,
8302,신뢰성있는 모델과 상품 소개,신뢰성,긍정적 평가,모델|상품,,
8303,블랙야크와 모델이 잘 어울린다,모델,호감도 높음,모델|블랙야크,,
8304,브랜드와 광고 배경이 잘 어울리고,비주얼,전체적 분위기,브랜드|광고 배경|어울림,,
8305,음악,Not enough data,Not enough data,,,
8306,제품보다 모델에 눈길이 더 간다.,모델,호감도 낮음,모델,제품 집중도 저하,
8307,뭔가 제품의 장점이 극대화된 듯한 광고,광고 구성,긍정적 평가,장점|극대화,,
8308,디자인이좋습니다,제품/브랜드,디자인,디자인,,
8309,본적은 없지만 무난한 광고이다,광고 임팩트,약한 임팩트,무난함,,
8310,제품의 특징이 잘 드러나지 않음,제품/브랜드,부정적 평가,,제품 특징,
8311,밋밋하다,광고 임팩트,약한 임팩트,,밋밋함,
8312,배경과 인물이 어울림,비주얼,배경,배경|인물,,
8313,시선을끈다,광고 임팩트,강한 임팩트,시선,,
8314,제품의 기능성에 집중이 보인다,기능성 강조,긍정적 평가,기능성|집중,,
8315,모델과 제품이 잘 어울린다. 배경.음악도 광고에 적합하다,광고 구성,긍정적 평가,모델|제품|배경|음악,,
8316,무거워 보여서,시각적 요소,부정적 평가,,무거움,
8317,특별히 임펙트가 없음,광고 임팩트,약한 임팩트,,임펙트,
8318,분위기가 멋있다,감성 소구,긍정적,분위기,,
8319,지금까지 본 중 제일 기능성화 광고같다,기능성 강조,긍정적 평가,기능성|광고,,
8320,생동감넘침,광고 전반,신선함,생동감,,
8321,모델 손석구도 마음에 들고 옛날부터 좋아했던 브랜드이다,모델,호감도 높음,모델|브랜드,,
8322,광고가 이해하기 어렵다,메시지/카피,이해도 낮음,,이해도,
8323,모델,Not enough data,Not enough data,,,
8324,굉고 내용이 보통이다,광고 임팩트,약한 임팩트,굉장함,보통,
8325,손석구,Not enough data,Not enough data,,,
8326,내용이 너무 산만하다,광고 구성,부정적 평가,,산만함,
8327,광고 장면와 배경이 마음에 든다,시각적 요소,배경,광고 장면|배경,,
8328,역동적이다,광고 임팩트,강한 임팩트,역동성,,
8329,너무 식상한 아웃도어 광고,광고 전반,평범함,아웃도어,식상함,
8330,광고의 효과가 의심될 정도로 내용이 없음,광고 임팩트,약한 임팩트,내용,효과,
8331,내용이 효과적이다,광고 구성,긍정적 평가,내용|효과,,
8332,무엇을 전달하려는 것인지 모르겠어요,메시지/카피,이해도 낮음,,메시지,
8333,배경,Not enough data,Not enough data,,,
8334,손석구 광고 너무 많이 찍음,모델,부정적 평가,광고,손석구|과다노출,
8335,신발의 가벼움이 느껴짐,제품/브랜드,기능성 강조,가벼움,,
8336,잘 어울린다,감성 소구,긍정적,어울림,,
8337,비슷비슷한 내용의 광고,광고 전반,평범함,,비슷비슷한 내용,
8338,거친환경에 적응하는,기능성 강조,보온성,환경|적응,,
8339,광고가 웅장하고 영상미가 느껴져 고급스럽다,감성 소구,고급스러움,광고|영상미,,
8340,자연속으로 걸어가는 순간 벅차 오른다라는 메세지와 영상이 조화롭고 아름답다,감성 소구,긍정적,메세지|영상|조화|아름다움,,
8341,강인함,Not enough data,Not enough data,,,
8342,모델이 안 어울림,모델,부정적 평가,,모델,
8343,신발의 장점을 잘 보여줍니다,제품/브랜드,기능성 강조,장점|신발,,
8344,모델이 누구인지 잘 모르겠고 광고 내용도 이미지 위주고 팩트를 모르겠다,광고 구성,부정적 평가,모델|광고,이미지 위주|내용 부족,
8345,흔한 아웃도어 광고,광고 전반,평범함,아웃도어|광고,흔한,
8346,신발이 활동적인 모습,제품/브랜드,긍정적 평가,신발|활동성,,
8347,눈길을 끌지 못하는 평범한 광고,광고 임팩트,약한 임팩트,,평범한 광고|눈길을 끌지 못함,
8348,너무어둡고 말투가 강해고 와닿지않아서,광고 전반,기억에 남지 않음,,어두움|말투|강함,
8349,음악이 역동적이라 등산의 쾌감이 느껴지는 듯합니다,음악/사운드,긍정적 평가,음악|등산의 쾌감,,
8350,특색 없음,광고 임팩트,약한 임팩트,,특색,
8351,험한 산맥에서도 안전하다는 느낌에 약간 전문적으로 보인다,전문성,긍정적 평가,안전|전문적,,
8352,강한느낌입니다,광고 임팩트,강한 임팩트,강한 느낌,,
8353,광고가 나름 잘 나왔다,광고 전반,긍정적,광고,,
8354,제품 이미지에 비해서 설명이 부족하다,광고 구성,부정적 평가,제품 이미지,설명 부족,
8355,343max,없음/모름,,,,
8356,내용을 잘 모르겠다,없음/모름,,,,
8357,모델과 잘어울림,모델,호감도 높음,모델|어울림,,
8358,그냥 무난하고 식상함,광고 임팩트,약한 임팩트,무난함,식상함,
8359,그저 그러함,전반적 평가,중립적,,,
8360,맘에 안든다,전반적 평가,부정적,,마음,
8361,광고 배경이 좋다.,비주얼,배경,배경|광고,,
8362,블랙야크에 대한 정보가 부족하다,광고 구성,부정적 평가,정보,부족,
8363,참신하고 지적이다,광고 전반,신선함,참신함|지적임,,
8364,출연배우와 내용,광고 구성,긍정적 평가,출연배우|내용,,
8365,화면도 뻔한 옛날스타일,광고 전반,평범함,옛날스타일,화면,
8366,손석구가 광고에 어울리는 것 같아서,모델,긍정적 평가,손석구|광고,,
8367,자연속으로 걸어오르다 블랙야크,감성 소구,긍정적,자연|걸어오르다,,
8368,어둡고 지루하다,광고 임팩트,약한 임팩트,,어둠|지루함,
8369,모델,Not enough data,Not enough data,,,
8370,손석구가멋인다,모델,호감도 높음,손석구|멋,,
8371,모델,Not enough data,Not enough data,,,
8372,제품의 기능에 대한 설명 부족,기능성 강조,부정적 평가,제품,기능,
8373,산이 멋있게 그려지고 등산화가 돋보이고 손석구랑도 잘어울린다,시각적 요소,긍정적 평가,산|등산화|손석구,,
8374,고기능성 아웃도어 그 말 그 자체이다,기능성 강조,긍정적 평가,고기능성|아웃도어,,
8375,다른 브랜드의 광고보다 깔끔하고 고급스럽다,감성 소구,고급스러움,깔끔함|고급스러움,,
8376,좋아하지 않음,전반적 평가,부정적,,,
8377,예술이네요.,감성 소구,긍정적,예술,,
8378,실제 등산할 때 느낌을 볼 수 있어서 좋다,광고 구성,긍정적 평가,등산 느낌,,
8379,충격은 흡수하고 편안함은 남긴다,메시지/카피,독창성,충격 흡수|편안함,,
8380,손석구는 좋다,모델,호감도 높음,손석구,,
8381,배우,Not enough data,Not enough data,,,
8382,다른 아웃도어 광고와 차별성을 느끼지 못함,광고 전반,평범함,,차별성,
8383,자연을 걷는모습이 멋지다,감성 소구,긍정적,자연|걷는모습,,
8384,문구카피가 너무나 마음에 든다,메시지/카피,긍정적 평가,문구|카피,,
8385,남성 제품 같아서 크게 와 닿지 않는다.,타겟 적합성,부정적,,남성 제품,
8386,모델이 마음에 든다,모델,호감도 높음,모델,,
8387,평범하다,광고 임팩트,약한 임팩트,,평범함,
8388,아웃도어광고에잘어울리는듯,광고 전반,신선함,아웃도어|광고,,
8389,모델,Not enough data,Not enough data,,,
8390,모델이 제품과 잘 어울리고 보기가 좋다,모델,호감도 높음,모델|제품,,
8391,목소리가좋다,음악/사운드,긍정적 평가,목소리,,
8392,말이 별로 없다. 설명이 필요하다.,광고 구성,부정적 평가,설명,말,
8393,블랙야크 이미지가 강하다,제품/브랜드,브랜드 이미지,이미지,,
8394,다른 아웃도어 브랜드 광고와 차별성이 없어서,광고 전반,평범함,,차별성,
8395,제품의 기능성이 돋보여서 전문적으로 보여서 마음에 들었다. 그런데 모델이 손석구인것은 후반에 되서야 알았다.,기능성 강조,긍정적 평가,기능성|전문성,모델,
8396,특별하게 마음에 와닿는 내용이 없다,광고 임팩트,약한 임팩트,,특별함|내용,
8397,야생적이어서,감성 소구,긍정적,야생|자연,,
8398,광고장면,광고 구성,긍정적 평가,광고장면,,
8399,역동적인 느낌이 마음에 듭니다.,광고 임팩트,강한 임팩트,역동적 느낌,,
8400,음악이 별로. 나머지는 괜찮음,음악/사운드,부정적 평가,나머지,음악,
8401,산 정상 풍경,시각적 요소,배경,산 정상|풍경,,
8402,블랙야크라는 이름과 어울리는 색감의 광고인 것 같다 약간 어둡다고 싫어하는 분들도 계실것 같지만 개인적으로는 블랙야크의 브랜드네임과 어울리고 손석구라는 배우와도 어울리는 컨셉이라고 생각한다 앵글도 다양해서 기억에 남는 것 같다,감성 소구,긍정적,색감|컨셉|앵글,어둡다,
8403,제품에 대한 설명 부족,기능성 강조,부정적 평가,,설명 부족,
8404,광고내용이 좋으네요,광고 전반,긍정적,광고내용,,
8405,모델이 활동적이지 않음,모델,부정적 평가,활동성,모델,
8406,카피,Not enough data,Not enough data,,,
8407,내용을 모르겠습니다.,전반적 평가,부정적,,내용,
8408,집중이안됨,광고 전반,기억에 남지 않음,,집중,
8409,발바닥만 기억난다,광고 임팩트,약한 임팩트,발바닥,,
8410,그냥간단명료하다,광고 구성,긍정적 평가,간단명료,,
8411,이해하기 어렵다,메시지/카피,이해도 낮음,,이해하기 어려움,
8412,광고가 비슷비슷 하다.,광고 전반,평범함,,비슷비슷함,
8413,눈길이 끌리지 않는다,광고 임팩트,약한 임팩트,,눈길,
8414,모델이 맘에들고 왜 필요한지 알려주고 사고싶게 만드는 효과를 가지고 있는 것 같음,광고 전반,몰입도,모델|효과,,
8415,손석구는 좀 글쎄.,모델,호감도 낮음,,손석구,
8416,트레킹에좋은 슈즈,제품/브랜드,기능성 강조,트레킹|슈즈,,
8417,어두워서 보이지 않음,광고 전반,기억에 남지 않음,,어두움,
8418,신발의 접지력이 좋아보인다,기능성 강조,긍정적 평가,접지력,,
8419,모델 비호감,모델,호감도 낮음,,모델,
8420,무난하다,광고 임팩트,약한 임팩트,무난함,,
8421,모델이 어울린다,모델,호감도 높음,모델,,
8422,제품과 광고가 어느 정도 잘 맞는다,광고 전반,신선함,제품|광고,,
8423,처음보아서,광고 임팩트,약한 임팩트,처음,,
8424,분위기가 여행가고 싶게 만든다 보기 좋다,감성 소구,긍정적,분위기|여행,,
8425,산배경이 좋다,비주얼,배경,산배경,,
8426,산,Not enough data,Not enough data,,,
8427,문구. 자연속으로 걸어들어간 순간.,감성 소구,긍정적,자연|순간,,
8428,평범하다,광고 임팩트,약한 임팩트,,평범함,
8429,전체적으로 너무 어둡고 정적인 느낌이 들어서,감성 소구,부정적,,어둡다|정적,
8430,모델이 좋아서,모델,호감도 높음,모델,,
8431,배경이 이쁘다,비주얼,배경,배경,,
8432,광활한 자연에서 신발의 중요함을 잘 나타냈고 손석구라는 배우가 마음에 든다,감성 소구,긍정적,광활한 자연|신발의 중요성|손석구,,
8433,멋있어 보인다,감성 소구,긍정적,멋있음,,
8434,제품을 자세히 보여주고 설명이 잘 해줘서 좋았습니다,광고 구성,긍정적 평가,제품|설명,,
8435,기분이 새롭다.,광고 전반,신선함,기분|새로움,,
8436,이유 없음,없음/모름,,,,
8437,신발에 대한 기능성이 전혀 포함되지 않음,기능성 강조,부정적 평가,신발,기능성,
8438,갖고 싶은 마음이 들어요,구매 의도,긍정적,갖고 싶은 마음,,
8439,별 느낌이 없다,광고 임팩트,약한 임팩트,,느낌,
8440,사용해보지않아서,제품/브랜드,부정적 평가,사용,경험 부족,
8441,광고모델 손석구,모델,호감도 높음,손석구,,
8442,제품이 마음에 든다,제품/브랜드,긍정적 평가,제품,,
8443,본적이 없어서 잘,없음/모름,,,,
8444,평범해보이는 광고이고 제품에 대한 설명이 없어서,광고 임팩트,약한 임팩트,,평범함|제품 설명 부족,
8445,제품에 대한 설명이나 제안이 없다,광고 구성,부정적 평가,,제품 설명|제안,
8446,분위기가 잘 어울린다.,감성 소구,긍정적,분위기,,
8447,음악이 좋아요,음악/사운드,긍정적 평가,음악,,
8448,산악풍경이 멋지다,시각적 요소,배경,산악풍경,,
8449,느낌없다,광고 임팩트,약한 임팩트,,느낌,
8450,기능성을 강조한 점이 마음에 들어서,기능성 강조,긍정적 평가,기능성,,
8451,주로 초점이 신발에 맞춰져 있다고 느꼈고 그냥 제품의 특징 보다는 여느 브랜드와 유사하다고 생각됨,광고 전반,평범함,신발|제품,초점|브랜드|유사성,
8452,광고 모델이 평소 좋아하는 연예인이 아니라서,모델,호감도 낮음,,연예인,
8453,이유 없음,없음/모름,,,,
8454,지루한 내용,광고 임팩트,약한 임팩트,,지루함,
8455,모델과 영상미가 돋보인다,시각적 요소,영상미,모델|영상미,,
8456,착용감 좋다,제품/브랜드,긍정적 평가,착용감,,
8457,모델이,Not enough data,Not enough data,,,
8458,지루함,Not enough data,Not enough data,,,
8459,편안한 느낌,감성 소구,긍정적,편안함,,
8460,단단할것 같다,제품/브랜드,기능성 강조,단단함,,
8461,에어맥스 따라한 느낌,광고 전반,평범함,에어맥스,에어맥스,
8462,모델이 맘에들어요,모델,호감도 높음,모델,,
8463,분위기거 어두워요,감성 소구,부정적,분위기,어두움,
8464,너무 평범하다,광고 임팩트,약한 임팩트,,평범함,
